date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:59	19165/19165	---MCZ	200	added ('OK')	text/html	etag:W/%224add-2315625384%22	http://www.bootply.com/render/85861	D:/websites/mukul%20dashboard/www.bootply.com/render/85861.html	(from )
09:41:59	113/113	---M--	200	added ('OK')	text/plain	etag:W/%22jU8G1Je4ue/dNKAfBZ5h5A==%22	http://www.bootply.com/robots.txt		(from )
09:41:59	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%22385b964b68acb68d23cb43a5218fade9%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	D:/websites/mukul%20dashboard/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	(from http://www.bootply.com/render/85861)
09:42:00	25291/25291	---MCZ	200	added ('OK')	text/html	etag:W/%2262cb-2970122786%22	http://www.bootply.com/bootstrap/img/apple-touch-icon.png	D:/websites/mukul%20dashboard/www.bootply.com/bootstrap/img/apple-touch-icon.html	(from http://www.bootply.com/render/85861)
09:42:00	25297/25297	---MCZ	200	added ('OK')	text/html	etag:W/%2262d1-3195668392%22	http://www.bootply.com/bootstrap/img/apple-touch-icon-72x72.png	D:/websites/mukul%20dashboard/www.bootply.com/bootstrap/img/apple-touch-icon-72x72.html	(from http://www.bootply.com/render/85861)
09:42:01	25299/25299	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3-1166270433%22	http://www.bootply.com/bootstrap/img/apple-touch-icon-114x114.png	D:/websites/mukul%20dashboard/www.bootply.com/bootstrap/img/apple-touch-icon-114x114.html	(from http://www.bootply.com/render/85861)
09:42:02	5761/5761	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2280803a-1681-518074e986080%22	http://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=bootplycom	D:/websites/mukul%20dashboard/cdn.carbonads.com/carbona961.js	(from http://www.bootply.com/render/85861)
09:42:02	31819/31819	---MCZ	200	added ('OK')	text/javascript	etag:W/%22abda843684d022f3bc22bc83927fe05f%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js	D:/websites/mukul%20dashboard/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js	(from http://www.bootply.com/render/85861)
09:42:04	25252/25252	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20May%202015%2021:02:55%20GMT	http://www.google-analytics.com/analytics.js	D:/websites/mukul%20dashboard/www.google-analytics.com/analytics.js	(from http://www.bootply.com/render/85861)
09:42:06	4599/4599	---MCZ	200	added ('OK')	text/css	etag:W/%226aYZeow/SPeIGFhzG7iNlw==%22	http://www.bootply.com/codemirror/lib/codemirror.css	D:/websites/mukul%20dashboard/www.bootply.com/codemirror/lib/codemirror.css	(from http://www.bootply.com/bootstrap/img/apple-touch-icon.png)
09:42:08	21619/21619	---MCZ	200	added ('OK')	application/javascript	etag:W/%22MO7gHz4DNLQiq9BIle1kyg==%22	http://www.bootply.com/codemirror/mode/css/css.js	D:/websites/mukul%20dashboard/www.bootply.com/codemirror/mode/css/css.js	(from http://www.bootply.com/bootstrap/img/apple-touch-icon.png)
